Operation - Dodowanie, At position - Poczatek
100;400
1000;194
5000;200
8000;202
10000;222
16000;206
20000;210
40000;230
80000;274
120000;296
160000;326
Operation - Dodowanie, At position - Koniec
100;236
1000;192
5000;246
8000;214
10000;238
16000;450
20000;240
40000;294
80000;386
120000;490
160000;522
Operation - Dodowanie, At position - Losowo
100;294
1000;1254
5000;11016
8000;14046
10000;15380
16000;33038
20000;36010
40000;108376
80000;345778
120000;310182
160000;363948
Operation - Usuwanie, At position - Poczatek
100;158
1000;168
5000;252
8000;280
10000;276
16000;336
20000;416
40000;556
80000;886
120000;1108
160000;1094
Operation - Usuwanie, At position - Koniec
100;162
1000;174
5000;334
8000;424
10000;744
16000;454
20000;484
40000;614
80000;1016
120000;1264
160000;1340
Operation - Usuwanie, At position - Losowo
100;218
1000;1732
5000;8664
8000;18104
10000;16768
16000;27044
20000;41844
40000;95300
80000;270252
120000;289694
160000;355714
