Operation - Dodowanie, At position - Poczatek
100;311
1000;2027
5000;10761
8000;17405
10000;21194
16000;32250
20000;49127
40000;87505
80000;161744
120000;240366
160000;326366
Operation - Dodowanie, At position - Koniec
100;161
1000;177
5000;83
8000;133
10000;238
16000;94
20000;100
40000;183
80000;250
120000;183
160000;311
Operation - Dodowanie, At position - Losowo
100;211
1000;1050
5000;5366
8000;9127
10000;11127
16000;16788
20000;26188
40000;52600
80000;126077
120000;204544
160000;305377
Operation - Usuwanie, At position - Poczatek
100;255
1000;1988
5000;9633
8000;15383
10000;19166
16000;32022
20000;42261
40000;76877
80000;155327
120000;243005
160000;326372
Operation - Usuwanie, At position - Koniec
100;61
1000;61
5000;72
8000;83
10000;111
16000;77
20000;222
40000;105
80000;183
120000;205
160000;277
Operation - Usuwanie, At position - Losowo
100;166
1000;900
5000;5788
8000;7450
10000;9861
16000;14388
20000;21900
40000;47461
80000;133461
120000;202822
160000;289600
