Operation - Dodowanie, At position - Poczatek
100;190
1000;210
5000;214
8000;204
10000;194
16000;208
20000;214
40000;296
80000;248
120000;288
160000;324
Operation - Dodowanie, At position - Koniec
100;522
1000;174
5000;204
8000;204
10000;212
16000;216
20000;228
40000;288
80000;338
120000;354
160000;372
Operation - Dodowanie, At position - Losowo
100;262
1000;1834
5000;10984
8000;22042
10000;27148
16000;59064
20000;63688
40000;128162
80000;188906
120000;250614
160000;269812
Operation - Usuwanie, At position - Poczatek
100;134
1000;170
5000;662
8000;260
10000;280
16000;354
20000;422
40000;542
80000;822
120000;1162
160000;1218
Operation - Usuwanie, At position - Koniec
100;358
1000;4142
5000;26264
8000;46438
10000;59788
16000;98472
20000;126486
40000;269266
80000;961106
120000;1995558
160000;3208602
Operation - Usuwanie, At position - Losowo
100;44090
1000;1982
5000;12956
8000;21248
10000;28322
16000;48190
20000;39402
40000;125262
80000;162676
120000;205860
160000;266954
